doi,authors,comments,updated,categories
10.1051/0004-6361/202243800,"[arxiv.Result.Author('Gaia Collaboration'), arxiv.Result.Author('O. L. Creevey'), arxiv.Result.Author('L. M. Sarro'), arxiv.Result.Author('A. Lobel'), arxiv.Result.Author('E. Pancino'), arxiv.Result.Author('R. Andrae'), arxiv.Result.Author('R. L. Smart'), arxiv.Result.Author('G. Clementini'), arxiv.Result.Author('U. Heiter'), arxiv.Result.Author('A. J. Korn'), arxiv.Result.Author('M. Fouesneau'), arxiv.Result.Author('Y. Frémat'), arxiv.Result.Author('F. De Angeli'), arxiv.Result.Author('A. Vallenari'), arxiv.Result.Author('D. L. Harrison'), arxiv.Result.Author('F. Thévenin'), arxiv.Result.Author('C. Reylé'), arxiv.Result.Author('R. Sordo'), arxiv.Result.Author('A. Garofalo'), arxiv.Result.Author('A. G. A. Brown'), arxiv.Result.Author('L. Eyer'), arxiv.Result.Author('T. Prusti'), arxiv.Result.Author('J. H. J. de Bruijne'), arxiv.Result.Author('F. Arenou'), arxiv.Result.Author('C. Babusiaux'), arxiv.Result.Author('M. Biermann'), arxiv.Result.Author('C. Ducourant'), arxiv.Result.Author('D. W. Evans'), arxiv.Result.Author('R. Guerra'), arxiv.Result.Author('A. Hutton'), arxiv.Result.Author('C. Jordi'), arxiv.Result.Author('S. A. Klioner'), arxiv.Result.Author('U. L. Lammers'), arxiv.Result.Author('L. Lindegren'), arxiv.Result.Author('X. Luri'), arxiv.Result.Author('F. Mignard'), arxiv.Result.Author('C. Panem'), arxiv.Result.Author('D. Pourbaix'), arxiv.Result.Author('S. Randich'), arxiv.Result.Author('P. Sartoretti'), arxiv.Result.Author('C. Soubiran'), arxiv.Result.Author('P. Tanga'), arxiv.Result.Author('N. A. Walton'), arxiv.Result.Author('C. A. L. Bailer-Jones'), arxiv.Result.Author('U. Bastian'), arxiv.Result.Author('R. Drimmel'), arxiv.Result.Author('F. Jansen'), arxiv.Result.Author('D. Katz'), arxiv.Result.Author('M. G. Lattanzi'), arxiv.Result.Author('F. van Leeuwen'), arxiv.Result.Author('J. Bakker'), arxiv.Result.Author('C. Cacciari'), arxiv.Result.Author('J. Castañeda'), arxiv.Result.Author('C. Fabricius'), arxiv.Result.Author('L. Galluccio'), arxiv.Result.Author('A. Guerrier'), arxiv.Result.Author('E. Masana'), arxiv.Result.Author('R. Messineo'), arxiv.Result.Author('N. Mowlavi'), arxiv.Result.Author('C. Nicolas'), arxiv.Result.Author('K. Nienartowicz'), arxiv.Result.Author('F. Pailler'), arxiv.Result.Author('P. Panuzzo'), arxiv.Result.Author('F. Riclet'), arxiv.Result.Author('W. Roux'), arxiv.Result.Author('G. M. Seabroke'), arxiv.Result.Author('G. Gracia-Abril'), arxiv.Result.Author('J. Portell'), arxiv.Result.Author('D. Teyssier'), arxiv.Result.Author('M. Altmann'), arxiv.Result.Author('M. Audard'), arxiv.Result.Author('I. Bellas-Velidis'), arxiv.Result.Author('K. Benson'), arxiv.Result.Author('J. Berthier'), arxiv.Result.Author('R. Blomme'), arxiv.Result.Author('P. W. Burgess'), arxiv.Result.Author('D. Busonero'), arxiv.Result.Author('G. Busso'), arxiv.Result.Author('H. Cánovas'), arxiv.Result.Author('B. Carry'), arxiv.Result.Author('A. Cellino'), arxiv.Result.Author('N. Cheek'), arxiv.Result.Author('Y. Damerdji'), arxiv.Result.Author('M. Davidson'), arxiv.Result.Author('P. de Teodoro'), arxiv.Result.Author('M. Nuñez Campos'), arxiv.Result.Author('L. Delchambre'), arxiv.Result.Author(""A. Dell'Oro""), arxiv.Result.Author('P. Esquej'), arxiv.Result.Author('J. Fernández-Hernández'), arxiv.Result.Author('E. Fraile'), arxiv.Result.Author('D. Garabato'), arxiv.Result.Author('P. García-Lario'), arxiv.Result.Author('E. Gosset'), arxiv.Result.Author('R. Haigron'), arxiv.Result.Author('J. -L. Halbwachs'), arxiv.Result.Author('N. C. Hambly'), arxiv.Result.Author('J. Hernández'), arxiv.Result.Author('D. Hestroffer'), arxiv.Result.Author('S. T. Hodgkin'), arxiv.Result.Author('B. Holl'), arxiv.Result.Author('K. Janßen'), arxiv.Result.Author('G. Jevardat de Fombelle'), arxiv.Result.Author('S. Jordan'), arxiv.Result.Author('A. Krone-Martins'), arxiv.Result.Author('A. C. Lanzafame'), arxiv.Result.Author('W. Löffler'), arxiv.Result.Author('O. Marchal'), arxiv.Result.Author('P. M. Marrese'), arxiv.Result.Author('A. Moitinho'), arxiv.Result.Author('K. Muinonen'), arxiv.Result.Author('P. Osborne'), arxiv.Result.Author('T. Pauwels'), arxiv.Result.Author('A. Recio-Blanco'), arxiv.Result.Author('M. Riello'), arxiv.Result.Author('L. Rimoldini'), arxiv.Result.Author('T. Roegiers'), arxiv.Result.Author('J. Rybizki'), arxiv.Result.Author('C. Siopis'), arxiv.Result.Author('M. Smith'), arxiv.Result.Author('A. Sozzetti'), arxiv.Result.Author('E. Utrilla'), arxiv.Result.Author('M. van Leeuwen'), arxiv.Result.Author('U. Abbas'), arxiv.Result.Author('P. Ábrahám'), arxiv.Result.Author('A. Abreu Aramburu'), arxiv.Result.Author('C. Aerts'), arxiv.Result.Author('J. J. Aguado'), arxiv.Result.Author('M. Ajaj'), arxiv.Result.Author('F. Aldea-Montero'), arxiv.Result.Author('G. Altavilla'), arxiv.Result.Author('M. A. Álvarez'), arxiv.Result.Author('J. Alves'), arxiv.Result.Author('F. Anders'), arxiv.Result.Author('R. I. Anderson'), arxiv.Result.Author('E. Anglada Varela'), arxiv.Result.Author('T. Antoja'), arxiv.Result.Author('D. Baines'), arxiv.Result.Author('S. G. Baker'), arxiv.Result.Author('L. Balaguer-Núñez'), arxiv.Result.Author('E. Balbinot'), arxiv.Result.Author('Z. Balog'), arxiv.Result.Author('C. Barache'), arxiv.Result.Author('D. Barbato'), arxiv.Result.Author('M. Barros'), arxiv.Result.Author('M. A. Barstow'), arxiv.Result.Author('S. Bartolomé'), arxiv.Result.Author('J. -L. Bassilana'), arxiv.Result.Author('N. Bauchet'), arxiv.Result.Author('U. Becciani'), arxiv.Result.Author('M. Bellazzini'), arxiv.Result.Author('A. Berihuete'), arxiv.Result.Author('M. Bernet'), arxiv.Result.Author('S. Bertone'), arxiv.Result.Author('L. Bianchi'), arxiv.Result.Author('A. Binnenfeld'), arxiv.Result.Author('S. Blanco-Cuaresma'), arxiv.Result.Author('T. Boch'), arxiv.Result.Author('A. Bombrun'), arxiv.Result.Author('D. Bossini'), arxiv.Result.Author('S. Bouquillon'), arxiv.Result.Author('A. Bragaglia'), arxiv.Result.Author('L. Bramante'), arxiv.Result.Author('E. Breedt'), arxiv.Result.Author('A. Bressan'), arxiv.Result.Author('N. Brouillet'), arxiv.Result.Author('E. Brugaletta'), arxiv.Result.Author('B. Bucciarelli'), arxiv.Result.Author('A. Burlacu'), arxiv.Result.Author('A. G. Butkevich'), arxiv.Result.Author('R. Buzzi'), arxiv.Result.Author('E. Caffau'), arxiv.Result.Author('R. Cancelliere'), arxiv.Result.Author('T. Cantat-Gaudin'), arxiv.Result.Author('R. Carballo'), arxiv.Result.Author('T. Carlucci'), arxiv.Result.Author('M. I. Carnerero'), arxiv.Result.Author('J. M. Carrasco'), arxiv.Result.Author('L. Casamiquela'), arxiv.Result.Author('M. Castellani'), arxiv.Result.Author('A. Castro-Ginard'), arxiv.Result.Author('L. Chaoul'), arxiv.Result.Author('P. Charlot'), arxiv.Result.Author('L. Chemin'), arxiv.Result.Author('V. Chiaramida'), arxiv.Result.Author('A. Chiavassa'), arxiv.Result.Author('N. Chornay'), arxiv.Result.Author('G. Comoretto'), arxiv.Result.Author('G. Contursi'), arxiv.Result.Author('W. J. Cooper'), arxiv.Result.Author('T. Cornez'), arxiv.Result.Author('S. Cowell'), arxiv.Result.Author('F. Crifo'), arxiv.Result.Author('M. Cropper'), arxiv.Result.Author('M. Crosta'), arxiv.Result.Author('C. Crowley'), arxiv.Result.Author('C. Dafonte'), arxiv.Result.Author('A. Dapergolas'), arxiv.Result.Author('P. David'), arxiv.Result.Author('P. de Laverny'), arxiv.Result.Author('F. De Luise'), arxiv.Result.Author('R. De March'), arxiv.Result.Author('J. De Ridder'), arxiv.Result.Author('R. de Souza'), arxiv.Result.Author('A. de Torres'), arxiv.Result.Author('E. F. del Peloso'), arxiv.Result.Author('E. del Pozo'), arxiv.Result.Author('M. Delbo'), arxiv.Result.Author('A. Delgado'), arxiv.Result.Author('J. -B. Delisle'), arxiv.Result.Author('C. Demouchy'), arxiv.Result.Author('T. E. Dharmawardena'), arxiv.Result.Author('P. Di Matteo'), arxiv.Result.Author('S. Diakite'), arxiv.Result.Author('C. Diener'), arxiv.Result.Author('E. Distefano'), arxiv.Result.Author('C. Dolding'), arxiv.Result.Author('H. Enke'), arxiv.Result.Author('C. Fabre'), arxiv.Result.Author('M. Fabrizio'), arxiv.Result.Author('S. Faigler'), arxiv.Result.Author('G. Fedorets'), arxiv.Result.Author('P. Fernique'), arxiv.Result.Author('F. Figueras'), arxiv.Result.Author('Y. Fournier'), arxiv.Result.Author('C. Fouron'), arxiv.Result.Author('F. Fragkoudi'), arxiv.Result.Author('M. Gai'), arxiv.Result.Author('A. Garcia-Gutierrez'), arxiv.Result.Author('M. Garcia-Reinaldos'), arxiv.Result.Author('M. García-Torres'), arxiv.Result.Author('A. Gavel'), arxiv.Result.Author('P. Gavras'), arxiv.Result.Author('E. Gerlach'), arxiv.Result.Author('R. Geyer'), arxiv.Result.Author('P. Giacobbe'), arxiv.Result.Author('G. Gilmore'), arxiv.Result.Author('S. Girona'), arxiv.Result.Author('G. Giuffrida'), arxiv.Result.Author('R. Gomel'), arxiv.Result.Author('A. Gomez'), arxiv.Result.Author('J. González-Núñez'), arxiv.Result.Author('I. González-Santamaría'), arxiv.Result.Author('J. J. González-Vidal'), arxiv.Result.Author('M. Granvik'), arxiv.Result.Author('P. Guillout'), arxiv.Result.Author('J. Guiraud'), arxiv.Result.Author('R. Gutiérrez-Sánchez'), arxiv.Result.Author('L. P. Guy'), arxiv.Result.Author('D. Hatzidimitriou'), arxiv.Result.Author('M. Hauser'), arxiv.Result.Author('M. Haywood'), arxiv.Result.Author('A. Helmer'), arxiv.Result.Author('A. Helmi'), arxiv.Result.Author('M. H. Sarmiento'), arxiv.Result.Author('S. L. Hidalgo'), arxiv.Result.Author('N. Hładczuk'), arxiv.Result.Author('D. Hobbs'), arxiv.Result.Author('G. Holland'), arxiv.Result.Author('H. E. Huckle'), arxiv.Result.Author('K. Jardine'), arxiv.Result.Author('G. Jasniewicz'), arxiv.Result.Author('A. Jean-Antoine Piccolo'), arxiv.Result.Author('Ó. Jiménez-Arranz'), arxiv.Result.Author('J. Juaristi Campillo'), arxiv.Result.Author('F. Julbe'), arxiv.Result.Author('L. Karbevska'), arxiv.Result.Author('P. Kervella'), arxiv.Result.Author('S. Khanna'), arxiv.Result.Author('G. Kordopatis'), arxiv.Result.Author('Á Kóspál'), arxiv.Result.Author('Z. Kostrzewa-Rutkowska'), arxiv.Result.Author('K. Kruszyńska'), arxiv.Result.Author('M. Kun'), arxiv.Result.Author('P. Laizeau'), arxiv.Result.Author('S. Lambert'), arxiv.Result.Author('A. F. Lanza'), arxiv.Result.Author('Y. Lasne'), arxiv.Result.Author('J. -F. Le Campion'), arxiv.Result.Author('Y. Lebreton'), arxiv.Result.Author('T. Lebzelter'), arxiv.Result.Author('S. Leccia'), arxiv.Result.Author('N. Leclerc'), arxiv.Result.Author('I. Lecoeur-Taibi'), arxiv.Result.Author('S. Liao'), arxiv.Result.Author('E. L. Licata'), arxiv.Result.Author('H. E. P. Lindstrøm'), arxiv.Result.Author('T. A. Lister'), arxiv.Result.Author('E. Livanou'), arxiv.Result.Author('A. Lorca'), arxiv.Result.Author('C. Loup'), arxiv.Result.Author('P. Madrero Pardo'), arxiv.Result.Author('A. Magdaleno Romeo'), arxiv.Result.Author('S. Managau'), arxiv.Result.Author('R. G. Mann'), arxiv.Result.Author('M. Manteiga'), arxiv.Result.Author('J. M. Marchant'), arxiv.Result.Author('M. Marconi'), arxiv.Result.Author('J. Marcos'), arxiv.Result.Author('M. M. S. Marcos Santos'), arxiv.Result.Author('D. Marín Pina'), arxiv.Result.Author('S. Marinoni'), arxiv.Result.Author('F. Marocco'), arxiv.Result.Author('D. J. Marshall'), arxiv.Result.Author('L. Martin Polo'), arxiv.Result.Author('J. M. Martín-Fleitas'), arxiv.Result.Author('G. Marton'), arxiv.Result.Author('N. Mary'), arxiv.Result.Author('A. Masip'), arxiv.Result.Author('D. Massari'), arxiv.Result.Author('A. Mastrobuono-Battisti'), arxiv.Result.Author('T. Mazeh'), arxiv.Result.Author('P. J. McMillan'), arxiv.Result.Author('S. Messina'), arxiv.Result.Author('D. Michalik'), arxiv.Result.Author('N. R. Millar'), arxiv.Result.Author('A. Mints'), arxiv.Result.Author('D. Molina'), arxiv.Result.Author('R. Molinaro'), arxiv.Result.Author('L. Molnár'), arxiv.Result.Author('G. Monari'), arxiv.Result.Author('M. Monguió'), arxiv.Result.Author('P. Montegriffo'), arxiv.Result.Author('A. Montero'), arxiv.Result.Author('R. Mor'), arxiv.Result.Author('A. Mora'), arxiv.Result.Author('R. Morbidelli'), arxiv.Result.Author('T. Morel'), arxiv.Result.Author('D. Morris'), arxiv.Result.Author('T. Muraveva'), arxiv.Result.Author('C. P. Murphy'), arxiv.Result.Author('I. Musella'), arxiv.Result.Author('Z. Nagy'), arxiv.Result.Author('L. Noval'), arxiv.Result.Author('F. Ocaña'), arxiv.Result.Author('A. Ogden'), arxiv.Result.Author('C. Ordenovic'), arxiv.Result.Author('J. O. Osinde'), arxiv.Result.Author('C. Pagani'), arxiv.Result.Author('I. Pagano'), arxiv.Result.Author('L. Palaversa'), arxiv.Result.Author('P. A. Palicio'), arxiv.Result.Author('L. Pallas-Quintela'), arxiv.Result.Author('A. Panahi'), arxiv.Result.Author('S. Payne-Wardenaar'), arxiv.Result.Author('X. Peñalosa Esteller'), arxiv.Result.Author('A. Penttilä'), arxiv.Result.Author('B. Pichon'), arxiv.Result.Author('A. M. Piersimoni'), arxiv.Result.Author('F. -X. Pineau'), arxiv.Result.Author('E. Plachy'), arxiv.Result.Author('G. Plum'), arxiv.Result.Author('E. Poggio'), arxiv.Result.Author('A. Prša'), arxiv.Result.Author('L. Pulone'), arxiv.Result.Author('E. Racero'), arxiv.Result.Author('S. Ragaini'), arxiv.Result.Author('M. Rainer'), arxiv.Result.Author('C. M. Raiteri'), arxiv.Result.Author('P. Ramos'), arxiv.Result.Author('M. Ramos-Lerate'), arxiv.Result.Author('P. Re Fiorentin'), arxiv.Result.Author('S. Regibo'), arxiv.Result.Author('P. J. Richards'), arxiv.Result.Author('C. Rios Diaz'), arxiv.Result.Author('V. Ripepi'), arxiv.Result.Author('A. Riva'), arxiv.Result.Author('H. -W. Rix'), arxiv.Result.Author('G. Rixon'), arxiv.Result.Author('N. Robichon'), arxiv.Result.Author('A. C. Robin'), arxiv.Result.Author('C. Robin'), arxiv.Result.Author('M. Roelens'), arxiv.Result.Author('H. R. O. Rogues'), arxiv.Result.Author('L. Rohrbasser'), arxiv.Result.Author('M. Romero-Gómez'), arxiv.Result.Author('N. Rowell'), arxiv.Result.Author('F. Royer'), arxiv.Result.Author('D. Ruz Mieres'), arxiv.Result.Author('K. A. Rybicki'), arxiv.Result.Author('G. Sadowski'), arxiv.Result.Author('A. Sáez Núñez'), arxiv.Result.Author('A. Sagristà Sellés'), arxiv.Result.Author('J. Sahlmann'), arxiv.Result.Author('E. Salguero'), arxiv.Result.Author('N. Samaras'), arxiv.Result.Author('V. Sanchez Gimenez'), arxiv.Result.Author('N. Sanna'), arxiv.Result.Author('R. Santoveña'), arxiv.Result.Author('M. Sarasso'), arxiv.Result.Author('M. Schultheis'), arxiv.Result.Author('E. Sciacca'), arxiv.Result.Author('M. Segol'), arxiv.Result.Author('J. C. Segovia'), arxiv.Result.Author('D. Ségransan'), arxiv.Result.Author('D. Semeux'), arxiv.Result.Author('S. Shahaf'), arxiv.Result.Author('H. I. Siddiqui'), arxiv.Result.Author('A. Siebert'), arxiv.Result.Author('L. Siltala'), arxiv.Result.Author('A. Silvelo'), arxiv.Result.Author('E. Slezak'), arxiv.Result.Author('I. Slezak'), arxiv.Result.Author('O. N. Snaith'), arxiv.Result.Author('E. Solano'), arxiv.Result.Author('F. Solitro'), arxiv.Result.Author('D. Souami'), arxiv.Result.Author('J. Souchay'), arxiv.Result.Author('A. Spagna'), arxiv.Result.Author('L. Spina'), arxiv.Result.Author('F. Spoto'), arxiv.Result.Author('I. A. Steele'), arxiv.Result.Author('H. Steidelmüller'), arxiv.Result.Author('C. A. Stephenson'), arxiv.Result.Author('M. Süveges'), arxiv.Result.Author('J. Surdej'), arxiv.Result.Author('L. Szabados'), arxiv.Result.Author('E. Szegedi-Elek'), arxiv.Result.Author('F. Taris'), arxiv.Result.Author('M. B. Taylor'), arxiv.Result.Author('R. Teixeira'), arxiv.Result.Author('L. Tolomei'), arxiv.Result.Author('N. Tonello'), arxiv.Result.Author('F. Torra'), arxiv.Result.Author('J. Torra'), arxiv.Result.Author('G. Torralba Elipe'), arxiv.Result.Author('M. Trabucchi'), arxiv.Result.Author('A. T. Tsounis'), arxiv.Result.Author('C. Turon'), arxiv.Result.Author('A. Ulla'), arxiv.Result.Author('N. Unger'), arxiv.Result.Author('M. V. Vaillant'), arxiv.Result.Author('E. van Dillen'), arxiv.Result.Author('W. van Reeven'), arxiv.Result.Author('O. Vanel'), arxiv.Result.Author('A. Vecchiato'), arxiv.Result.Author('Y. Viala'), arxiv.Result.Author('D. Vicente'), arxiv.Result.Author('S. Voutsinas'), arxiv.Result.Author('M. Weiler'), arxiv.Result.Author('T. Wevers'), arxiv.Result.Author('Ł. Wyrzykowski'), arxiv.Result.Author('A. Yoldas'), arxiv.Result.Author('P. Yvard'), arxiv.Result.Author('H. Zhao'), arxiv.Result.Author('J. Zorec'), arxiv.Result.Author('S. Zucker'), arxiv.Result.Author('T. Zwitter')]","35 pages, (incl 6 pages references, acknowledgements, affiliations),
  37 figures, A&A accepted",2022-06-13 01:42:03+00:00,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1051/0004-6361/202243790,"[arxiv.Result.Author('C. Babusiaux'), arxiv.Result.Author('C. Fabricius'), arxiv.Result.Author('S. Khanna'), arxiv.Result.Author('T. Muraveva'), arxiv.Result.Author('C. Reylé'), arxiv.Result.Author('F. Spoto'), arxiv.Result.Author('A. Vallenari'), arxiv.Result.Author('X. Luri'), arxiv.Result.Author('F. Arenou'), arxiv.Result.Author('M. A. Alvarez'), arxiv.Result.Author('F. Anders'), arxiv.Result.Author('T. Antoja'), arxiv.Result.Author('E. Balbinot'), arxiv.Result.Author('C. Barache'), arxiv.Result.Author('N. Bauchet'), arxiv.Result.Author('D. Bossini'), arxiv.Result.Author('D. Busonero'), arxiv.Result.Author('T. Cantat-Gaudin'), arxiv.Result.Author('J. M. Carrasco'), arxiv.Result.Author('C. Dafonte'), arxiv.Result.Author('S. Diakite'), arxiv.Result.Author('F. Figueras'), arxiv.Result.Author('A. Garcia-Gutierrez'), arxiv.Result.Author('A. Garofalo'), arxiv.Result.Author('A. Helmi'), arxiv.Result.Author('O. Jimenez-Arranz'), arxiv.Result.Author('C. Jordi'), arxiv.Result.Author('P. Kervella'), arxiv.Result.Author('Z. Kostrzewa-Rutkowska'), arxiv.Result.Author('N. Leclerc'), arxiv.Result.Author('E. Licata'), arxiv.Result.Author('M. Manteiga'), arxiv.Result.Author('A. Masip'), arxiv.Result.Author('M. Monguio'), arxiv.Result.Author('P. Ramos'), arxiv.Result.Author('N. Robichon'), arxiv.Result.Author('A. C. Robin'), arxiv.Result.Author('M. Romero-Gomez'), arxiv.Result.Author('A. Saez'), arxiv.Result.Author('R. Santovena'), arxiv.Result.Author('L. Spina'), arxiv.Result.Author('G. Torralba Elipe'), arxiv.Result.Author('M. Weiler')]",Published in the A&A Gaia Data Release 3 special issue,2022-06-13 09:15:42+00:00,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1051/0004-6361/202243756,"[arxiv.Result.Author('Łukasz Wyrzykowski'), arxiv.Result.Author('K. Kruszyńska'), arxiv.Result.Author('K. A. Rybicki'), arxiv.Result.Author('B. Holl'), arxiv.Result.Author('I. Lecøe ur-Taïbi'), arxiv.Result.Author('N. Mowlavi'), arxiv.Result.Author('K. Nienartowicz'), arxiv.Result.Author('G. Jevardat de Fombelle'), arxiv.Result.Author('L. Rimoldini'), arxiv.Result.Author('M. Audard'), arxiv.Result.Author('P. Garcia-Lario'), arxiv.Result.Author('P. Gavras'), arxiv.Result.Author('D. W. Evans'), arxiv.Result.Author('S. T. Hodgkin'), arxiv.Result.Author('L. Eyer')]","Accepted for publication in A&A special issue for Gaia DR3. Tables
  and data also available:
  https://www.astrouw.edu.pl/~wyrzykow/GaiaDR3/GaiaDR3_microlensing.html",2022-10-26 15:38:23+00:00,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.3847/2041-8213/ac78e9,"[arxiv.Result.Author('Kenji Furuya'), arxiv.Result.Author('Tetsuya Hama'), arxiv.Result.Author('Yasuhiro Oba'), arxiv.Result.Author('Akira Kouchi'), arxiv.Result.Author('Naoki Watanabe'), arxiv.Result.Author('Yuri Aikawa')]",Accepted for publication in ApJL,2022-06-15 00:54:05+00:00,"['astro-ph.GA', 'astro-ph.EP', 'astro-ph.IM', 'astro-ph.SR']"
,"[arxiv.Result.Author('Quadry Chance'), arxiv.Result.Author('Daniel Foreman-Mackey'), arxiv.Result.Author('Sarah Ballard'), arxiv.Result.Author('Andrew Casey'), arxiv.Result.Author('Trevor David'), arxiv.Result.Author('Adrian Price-Whelan')]","Updated version. 19 pages, 14 figures. Submitted to Apj, in review.
  Latest catalog (ver 3.1) can be found at this URL:
  https://zenodo.org/records/10909785",2024-11-04 21:03:50+00:00,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1093/mnras/stac2928,"[arxiv.Result.Author('Dolev Bashi'), arxiv.Result.Author('Sahar Shahaf'), arxiv.Result.Author('Tsevi Mazeh'), arxiv.Result.Author('Simchon Faigler'), arxiv.Result.Author('Subo Dong'), arxiv.Result.Author('Kareem El-Badry'), arxiv.Result.Author('Hans-Walter Rix'), arxiv.Result.Author('Alain Jorissen')]","16 pages, 16 figures, accepted for publication in MNRAS",2022-10-10 18:01:15+00:00,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
,"[arxiv.Result.Author('Sean K. Terry'), arxiv.Result.Author('Jessica R. Lu'), arxiv.Result.Author('Paolo Turri'), arxiv.Result.Author('Anna Ciurlo'), arxiv.Result.Author('Abhimat Gautam'), arxiv.Result.Author('Tuan Do'), arxiv.Result.Author('Michael P. Fitzgerald'), arxiv.Result.Author('Andrea Ghez'), arxiv.Result.Author('Matthew Hosek Jr.'), arxiv.Result.Author('Gunther Witzel')]","23 pages, 13 figures, submitted to JATIS",2022-09-12 18:00:00+00:00,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1051/0004-6361/202244207,"[arxiv.Result.Author('Aviad Panahi'), arxiv.Result.Author('Tsevi Mazeh'), arxiv.Result.Author('Shay Zucker'), arxiv.Result.Author('David W. Latham'), arxiv.Result.Author('Karen A. Collins'), arxiv.Result.Author('Lorenzo Rimoldini'), arxiv.Result.Author('Dafydd Wyn Evans'), arxiv.Result.Author('Laurent Eyer')]","Accepted for publication in A&A, 12 pages, 10 figures",2022-09-13 09:48:48+00:00,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1093/mnras/stac2674,"[arxiv.Result.Author('A. Boulkaboul'), arxiv.Result.Author('Y. Damerdji'), arxiv.Result.Author('T. Morel'), arxiv.Result.Author('Y. Frémat'), arxiv.Result.Author('C. Soubiran'), arxiv.Result.Author('E. Gosset'), arxiv.Result.Author('T. E. Abdelatif')]","Paper accepted for publication in MNRAS on 15th September 2022. Added
  references for section 3",2022-09-26 12:24:29+00:00,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1088/1538-3873/acafa4,"[arxiv.Result.Author('Mary Anne Limbach'), arxiv.Result.Author('Melinda Soares-Furtado'), arxiv.Result.Author('Andrew Vanderburg'), arxiv.Result.Author('William M. J. Best'), arxiv.Result.Author('Ann Marie Cody'), arxiv.Result.Author(""Elena D'Onghia""), arxiv.Result.Author('René Heller'), arxiv.Result.Author('Brandon S. Hensley'), arxiv.Result.Author('Marina Kounkel'), arxiv.Result.Author('Adam Kraus'), arxiv.Result.Author('Andrew W. Mann'), arxiv.Result.Author('Massimo Robberto'), arxiv.Result.Author('Anna L. Rosen'), arxiv.Result.Author('Richard Townsend'), arxiv.Result.Author('Johanna M. Vos')]",Submitted to PASP,2022-09-26 18:00:16+00:00,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/1538-4365/ac98fd,"[arxiv.Result.Author('Linling Shuai'), arxiv.Result.Author('Bin B. Ren'), arxiv.Result.Author('Ruobing Dong'), arxiv.Result.Author('Xingyu Zhou'), arxiv.Result.Author('Laurent Pueyo'), arxiv.Result.Author('Robert J. De Rosa'), arxiv.Result.Author('Taotao Fang'), arxiv.Result.Author('Dimitri Mawet')]","14 pages, 4 figures, 2 tables, ApJS accepted. Data files for Table 2
  in the ancillary folder. Code framework available at
  https://github.com/slinling/afm-spirals",2022-10-07 17:55:15+00:00,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1051/0004-6361/202142970,"[arxiv.Result.Author('A. Bensberg'), arxiv.Result.Author('S. Wolf')]","Accepted for publication in Astronomy & Astrophysics. 15 pages, 18
  figures",2022-10-28 11:20:01+00:00,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1051/0004-6361/202244250,"[arxiv.Result.Author('Alex Golovin'), arxiv.Result.Author('Sabine Reffert'), arxiv.Result.Author('Andreas Just'), arxiv.Result.Author('Stefan Jordan'), arxiv.Result.Author('Akash Vani'), arxiv.Result.Author('Hartmut Jahreiß')]","Accepted for publication in A&A. Catalogue available at
  https://dc.g-vo.org/CNS5",2022-11-02 19:38:43+00:00,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1140/epjp/s13360-022-03377-0,"[arxiv.Result.Author('R. Gratton'), arxiv.Result.Author('S. Desidera'), arxiv.Result.Author('F. Marzari'), arxiv.Result.Author('M. Bonavita')]","17 pages, 7 figures",2022-11-03 11:15:19+00:00,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1093/mnras/stac3220,"[arxiv.Result.Author('Ugo Lebreuilly'), arxiv.Result.Author('Valentin Vallucci-Goy'), arxiv.Result.Author('Vincent Guillet'), arxiv.Result.Author('Maxime Lombart'), arxiv.Result.Author('Pierre Marchand')]",Accepted for publication in MNRAS,2022-11-03 15:26:19+00:00,"['astro-ph.GA', 'astro-ph.EP', 'astro-ph.IM', 'astro-ph.SR']"
10.18716/kups/64624,[arxiv.Result.Author('Floris van der Tak')],"Contribution to the proceedings of the 7th Chile-Cologne-Bonn
  symposium: Physics and Chemistry of Star Formation; 5 pages. Version 2
  includes useful comments on the original version; version 3 includes further
  comments",2022-12-14 10:12:25+00:00,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
