LowCC,VeryHighRC,HighMedDC,fewAuth,lowJR,New,astro-ph.EP,astro-ph.IM,physics.pop-ph,,,
VeryHighCC,VeryHighRC,VeryHighDC,hundredsAuths,lowJR,Newish,astro-ph.CO,,,,,
LowCC,HighMedRC,LowDC,fewAuth,lowMedJR,New,astro-ph.SR,,,,,
VeryHighCC,VeryHighRC,VeryHighDC,hundredsAuths,lowJR,Old,astro-ph.CO,,,,,
VeryHighCC,HighRC,HighDC,fewAuth,lowJR,VeryOld,astro-ph.IM,physics.comp-ph,stat.CO,,,
VeryHighCC,HighRC,HighDC,thousandsAuths,lowMedJR,Old,gr-qc,astro-ph.HE,,,,
VeryHighCC,HighRC,HighMedDC,tensAuths,lowJR,VeryOld,astro-ph.IM,,,,,
VeryHighCC,VeryHighRC,HighDC,hundredsAuths,lowJR,Newish,astro-ph.GA,astro-ph.IM,,,,
VeryHighCC,HighRC,HighDC,hundredsAuths,lowJR,Old,astro-ph.IM,,,,,
VeryHighCC,VeryHighRC,VeryHighDC,fewAuth,lowJR,VeryOld,astro-ph.GA,,,,,
HighCC,HighMedRC,HighMedDC,hundredsAuths,lowJR,New,astro-ph.GA,,,,,
VeryHighCC,HighMedRC,VeryHighDC,thousandsAuths,lowMedJR,Old,gr-qc,astro-ph.HE,,,,
VeryHighCC,VeryHighRC,VeryHighDC,tensAuths,lowJR,VeryOld,astro-ph.IM,,,,,
LowMedCC,LowMedRC,HighMedDC,hundredsAuths,lowJR,New,astro-ph.CO,,,,,
VeryHighCC,VeryHighRC,VeryHighDC,fewAuth,lowMedJR,VeryOld,astro-ph.SR,astro-ph.IM,,,,
VeryHighCC,HighMedRC,LowMedDC,hundredsAuths,lowJR,Newish,astro-ph.IM,,,,,
VeryHighCC,HighRC,VeryHighDC,tensAuths,lowMedJR,VeryOld,astro-ph.CO,,,,,
HighCC,HighRC,VeryHighDC,fewAuth,highMedJR,VeryOld,astro-ph.CO,,,,,
HighCC,VeryHighRC,VeryHighDC,fewAuth,highMedJR,VeryOld,astro-ph.CO,,,,,
VeryHighCC,HighRC,HighDC,hundredsAuths,lowJR,VeryOld,astro-ph.CO,,,,,
HighCC,VeryHighRC,HighDC,thousandsAuths,lowMedJR,Old,astro-ph.HE,gr-qc,,,,
HighCC,HighRC,VeryHighDC,hundredsAuths,lowMedJR,Newish,astro-ph.GA,astro-ph.HE,gr-qc,,,
VeryHighCC,HighMedRC,VeryHighDC,hundredsAuths,lowJR,Newish,astro-ph,,,,,
HighCC,HighMedRC,HighMedDC,hundredsAuths,lowJR,New,astro-ph.GA,,,,,
LowCC,LowMedRC,LowMedDC,thousandsAuths,lowJR,New,astro-ph.CO,astro-ph.GA,astro-ph.IM,,,
HighMedCC,HighMedRC,VeryHighDC,hundredsAuths,lowJR,Newish,astro-ph.IM,,,,,
LowMedCC,HighMedRC,HighMedDC,tensAuths,lowJR,Newish,astro-ph.SR,astro-ph.EP,,,,
HighCC,HighRC,VeryHighDC,tensAuths,lowJR,Old,astro-ph.GA,astro-ph.CO,,,,
HighCC,HighRC,VeryHighDC,fewAuth,highMedJR,VeryOld,astro-ph.GA,astro-ph.CO,,,,
HighCC,HighRC,HighDC,fewAuth,lowJR,VeryOld,astro-ph.SR,,,,,
HighCC,HighMedRC,HighMedDC,hundredsAuths,lowJR,Old,astro-ph.IM,astro-ph.EP,astro-ph.GA,astro-ph.SR,,
HighCC,HighRC,VeryHighDC,fewAuth,lowMedJR,VeryOld,astro-ph.SR,astro-ph.IM,,,,
VeryHighCC,HighMedRC,HighMedDC,tensAuths,lowMedJR,VeryOld,astro-ph.CO,,,,,
LowCC,LowMedRC,LowMedDC,hundredsAuths,lowJR,New,astro-ph.HE,,,,,
LowCC,LowMedRC,LowMedDC,tensAuths,veryHighJR,New,astro-ph.GA,,,,,
LowCC,LowMedRC,LowMedDC,hundredsAuths,lowJR,New,astro-ph.CO,,,,,
LowCC,LowMedRC,HighMedDC,hundredsAuths,lowMedJR,New,astro-ph.GA,astro-ph.CO,astro-ph.HE,,,
HighCC,LowMedRC,LowMedDC,tensAuths,lowJR,Old,astro-ph.IM,,,,,
HighMedCC,HighMedRC,HighMedDC,fewAuth,lowJR,New,astro-ph.SR,astro-ph.GA,,,,
LowMedCC,HighMedRC,VeryHighDC,fewAuth,highMedJR,Old,astro-ph.GA,,,,,
HighMedCC,LowMedRC,HighMedDC,tensAuths,lowMedJR,New,astro-ph.CO,,,,,
LowMedCC,HighMedRC,HighMedDC,hundredsAuths,lowMedJR,New,astro-ph.GA,astro-ph.IM,,,,
HighCC,LowMedRC,LowMedDC,hundredsAuths,lowJR,New,astro-ph.IM,,,,,
HighCC,HighMedRC,VeryHighDC,fewAuth,lowJR,Old,astro-ph.SR,,,,,
HighMedCC,HighRC,VeryHighDC,fewAuth,lowMedJR,VeryOld,astro-ph.SR,,,,,
HighCC,HighMedRC,HighMedDC,hundredsAuths,lowJR,VeryOld,astro-ph.CO,astro-ph.GA,,,,
